city,pm10,pm25,population
Andacollo,36.5466,17.82104027,9444
Antofagasta,34.7365,9.15407,450979
Arica,23.22050177,11.3229,223600
Cerrillos,66.2702,31.2806,80832
Cerro Navia,61.7561,33.4068,132622
Chiguayante,30.2886,11.3906,85938
Chillan,40.4545,26.0223,184739
Comuna De Coyhaique,85.1842,66.64585,57818
Concepcion,40.1176,25.8604,212003
Copiapo,53.5574,14.1971,167800
Coquimbo,30.04193047,14.6492,457108
Coronel,31.621,18.2026,116262
Curico,46.8959,28.4029,112700
El Bosque,66.5049,34.9837,162505
Huasco,18.83028497,9.18212,6445
Independencia,62.2973,29.1038,100281
La Florida,65.2459,29.3968,366916
Las Condes,48.4508,26.2681,294838
Linares,65.36681272,31.8745,71200
Los Angeles,57.4031,32.5325,202331
Maule,35.3495,19.8176,3967
Osorno,55.9435,43.7791,143500
Padre Las Casas,63.7298,49.3362,33697
Pudahuel,69.2701,32.1718,230293
Puente Alto,57.7671,26.1007,568106
Puerto Montt,55.20183192,26.9178,245902
Punta Arenas,11.17222998,5.44786,125900
Quilpue,37.875,21.8618,126893
Rancagua,68.22445,27.6912,276000
Rengo,35.4412,17.28201946,30891
Salamanca,19.4098,9.464706085,11613
San Fernando,44.6559,21.77533867,49519
Santiago,66.8264,28.6471,6507400
Talagante,50.7637915,24.7537,6507400
Talca,50.08505,24.12115,221100
Talcahuano,55.6321,27.12760953,161692
Temuco,51.52155,35.1756,361620
Tome,37.2175,16.333,43500
Valdivia,66.6288,40.9424,152600
Valparaso,31.19896684,15.2134,906967
Vina Del Mar,41.6507,20.2042,286931
